온실번호,측정라인,표본번호,조사일자,착과수,예측,오차
2,1,2,2025-02-03,5.0,6.221259818044796,1.2212598180447962
2,2,1,2024-11-01,1.0,0.09585071994401013,0.9041492800559898
2,2,1,2024-11-04,1.0,1.9976394628949217,0.9976394628949217
2,2,1,2024-11-11,4.0,3.111620565524149,0.8883794344758509
2,2,1,2024-11-18,5.0,4.570875096943948,0.429124903056052
2,2,1,2024-11-25,9.0,6.995479064217698,2.0045209357823017
2,2,1,2024-12-02,10.0,8.056364927786829,1.943635072213171
2,2,1,2024-12-09,10.0,7.475028538207919,2.524971461792081
2,2,1,2024-12-16,7.0,6.639191461344531,0.36080853865546914
2,2,1,2024-12-23,4.0,5.599828941051853,1.599828941051853
2,2,1,2024-12-30,4.0,3.0611590529665142,0.9388409470334858
2,2,1,2025-01-06,4.0,2.5492630041595876,1.4507369958404124
2,2,1,2025-01-13,4.0,4.264618583077805,0.26461858307780517
2,2,1,2025-01-20,4.0,3.7648222118558823,0.23517778814411772
2,2,1,2025-01-31,7.0,5.239414976285932,1.7605850237140679
2,2,1,2025-02-03,6.0,6.4907148404662065,0.4907148404662065
2,2,2,2024-11-01,3.0,0.09585071994401013,2.90414928005599
2,2,2,2024-11-04,3.0,2.4165093006800293,0.5834906993199707
2,2,2,2024-11-11,6.0,3.9222253212070872,2.0777746787929128
2,2,2,2024-11-18,7.0,4.838632298598322,2.1613677014016783
2,2,2,2024-11-25,9.0,7.401067906689932,1.5989320933100677
2,2,2,2024-12-02,8.0,7.87629978957862,0.12370021042138024
2,2,2,2024-12-09,8.0,6.304418061108393,1.695581938891607
2,2,2,2024-12-16,6.0,6.011532021413479,0.011532021413478866
2,2,2,2024-12-23,5.0,4.820085775432633,0.1799142245673666
2,2,2,2024-12-30,4.0,3.969600808573194,0.030399191426806027
2,2,2,2025-01-06,4.0,2.7821715458469227,1.2178284541530773
2,2,2,2025-01-13,4.0,4.213296659476936,0.21329665947693588
2,2,2,2025-01-20,4.0,3.795976292002139,0.20402370799786107
2,2,2,2025-01-31,6.0,5.556507837455398,0.4434921625446018
2,2,2,2025-02-03,6.0,5.7366776093843095,0.2633223906156905
2,3,1,2024-11-01,0.0,0.12048050478342365,0.12048050478342365
2,3,1,2024-11-04,0.0,0.06043859125915022,0.06043859125915022
2,3,1,2024-11-11,0.0,0.6331050109544708,0.6331050109544708
2,3,1,2024-11-18,1.0,1.4366307651601427,0.43663076516014265
2,3,1,2024-11-25,5.0,5.200972936465685,0.2009729364656847
2,3,1,2024-12-02,9.0,7.505901491588437,1.4940985084115628
2,3,1,2024-12-09,9.0,6.832629319302661,2.1673706806973394
2,3,1,2024-12-16,6.0,6.5335014759134316,0.5335014759134316
2,3,1,2024-12-23,5.0,5.093420617079616,0.09342061707961591
2,3,1,2024-12-30,3.0,4.301259864407071,1.3012598644070712
2,3,1,2025-01-06,2.0,2.9164406810397057,0.9164406810397057
2,3,1,2025-01-13,4.0,4.590860420474232,0.5908604204742316
2,3,1,2025-01-20,5.0,4.504715931676065,0.4952840683239348
2,3,1,2025-01-31,5.0,5.550638107565836,0.5506381075658364
2,3,1,2025-02-03,4.0,4.88664635692532,0.8866463569253202
2,3,2,2024-11-01,1.0,0.12048050478342365,0.8795194952165764
2,3,2,2024-11-04,1.0,1.8420797979333536,0.8420797979333536
2,3,2,2024-11-11,4.0,3.270809006913803,0.7291909930861968
2,3,2,2024-11-18,5.0,4.489427578558474,0.5105724214415259
2,3,2,2024-11-25,8.0,7.223362838459406,0.7766371615405943
2,3,2,2024-12-02,7.0,7.337506594340762,0.3375065943407618
2,3,2,2024-12-09,7.0,5.946994677635393,1.0530053223646068
2,3,2,2024-12-16,6.0,5.438380432106437,0.5616195678935627
2,3,2,2024-12-23,5.0,4.855321046977307,0.14467895302269262
2,3,2,2024-12-30,4.0,4.177218134245686,0.17721813424568644
2,3,2,2025-01-06,3.0,2.8820260237308766,0.11797397626912343
2,3,2,2025-01-13,6.0,4.394260807598174,1.6057391924018258
2,3,2,2025-01-20,6.0,5.0720651384006645,0.9279348615993355
2,3,2,2025-01-31,6.0,5.8075436626109855,0.19245633738901446
2,3,2,2025-02-03,5.0,5.470185668243146,0.470185668243146
2,4,1,2024-11-01,1.0,0.026367183994848373,0.9736328160051516
2,4,1,2024-11-04,1.0,1.8925707180334277,0.8925707180334277
2,4,1,2024-11-11,4.0,2.849494515719428,1.150505484280572
2,4,1,2024-11-18,5.0,4.264205000126346,0.7357949998736544
2,4,1,2024-11-25,7.0,6.725002475333944,0.2749975246660563
2,4,1,2024-12-02,8.0,6.996062417404591,1.0039375825954089
2,4,1,2024-12-09,8.0,6.546517125702075,1.4534828742979249
2,4,1,2024-12-16,6.0,6.006754340017846,0.006754340017845806
2,4,1,2024-12-23,5.0,5.049740569786072,0.04974056978607244
2,4,1,2024-12-30,3.0,4.239946656014206,1.2399466560142063
2,4,1,2025-01-06,2.0,2.553134818432507,0.5531348184325071
2,4,1,2025-01-13,6.0,4.473768775555338,1.526231224444662
2,4,1,2025-01-20,5.0,4.982630999119637,0.01736900088036286
2,4,1,2025-01-31,7.0,6.065859421994318,0.9341405780056817
2,4,1,2025-02-03,6.0,6.220652879308818,0.22065287930881805
2,4,2,2024-11-01,1.0,0.026367183994848373,0.9736328160051516
2,4,2,2024-11-04,1.0,1.8529166975906894,0.8529166975906894
2,4,2,2024-11-11,3.0,3.3008544321186597,0.3008544321186597
2,4,2,2024-11-18,4.0,3.6766954954710136,0.3233045045289864
2,4,2,2024-11-25,7.0,6.575099344681061,0.4249006553189387
2,4,2,2024-12-02,7.0,7.178562639687258,0.17856263968725816
2,4,2,2024-12-09,8.0,6.1471255709489645,1.8528744290510355
2,4,2,2024-12-16,5.0,5.941890611223334,0.9418906112233341
2,4,2,2024-12-23,4.0,4.169094697484741,0.16909469748474137
2,4,2,2024-12-30,4.0,3.2199337757840034,0.7800662242159966
